,id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
19173707,1.1891982965967147e+19,1,14102517,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,b576e52d,744ae245,1,0,17614,320,50,1993,2,1063,100083,33
27490637,1.558531301539227e+19,1,14102803,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c0744cda,779d90c2,1,0,17614,320,50,1993,2,1063,100084,33
25344509,4.415332394602483e+18,0,14102711,1005,0,4e7614cf,c1aa3c04,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,b1f53aba,620311f4,1,0,19196,320,50,863,3,169,100105,61
19693639,1.4000879998836183e+19,1,14102520,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,49383a4a,8bfcd3c6,1,0,20395,320,50,2340,3,1065,100111,159
30139268,1.0149913484035852e+19,0,14102814,1005,1,17caea14,0dde25ec,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a180829b,a94d1405,1,0,23100,320,50,2526,0,167,100077,221
3527005,1.4343655696802849e+19,0,14102118,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,a066c6a2,8a4875bd,1,0,21763,320,50,2502,0,35,-1,221
21479105,9.391861422443e+18,0,14102609,1010,1,85f751fd,c4e18dd6,50e219e0,b8875973,7801e8d9,0f2161f8,a6de6634,13091f45,2b127119,5,2,22242,728,90,2566,3,41,100155,42
17278196,6.333254649754865e+18,0,14102507,1005,1,a7853007,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,af62faf4,cad4c01d,1,0,22288,320,50,2572,3,297,100156,42
18470935,1.077362320154848e+19,0,14102514,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,a01875a6,e1eae715,1,3,21191,320,50,2424,1,161,100192,71
5333143,1.1175409458705928e+19,0,14102207,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,2083feb3,7dc3b26e,1,0,21727,320,50,2502,0,35,-1,221
9158649,1.3301799748276326e+19,0,14102221,1002,0,a2cd448b,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,44ceb36c,bf5ce23f,5464db8a,0,0,6362,300,50,544,3,39,-1,23
11206125,1.0754470018162629e+19,0,14102310,1005,0,83a0ad1a,5c9ae867,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,29b99415,d4897fef,1,0,16859,320,50,1887,3,39,-1,23
28615389,1.146653098753878e+19,0,14102809,1005,0,9a977531,a434fa42,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,ab9d80d8,8f5c9827,1,0,20007,320,50,2283,0,163,100076,95
30678758,2.5279779066013225e+18,0,14102815,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,c67cdaa6,5db079b5,1,2,23167,320,50,2668,0,35,-1,221
6886139,1.6309955928197044e+19,0,14102211,1005,0,85f751fd,c4e18dd6,50e219e0,e96773f0,2347f47a,0f2161f8,a99f214a,1a586688,3bc980aa,1,0,21767,320,50,2506,0,35,-1,157
11700879,1.2576984487547478e+19,1,14102313,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,b724e7c9,d4897fef,1,0,20362,320,50,2333,0,39,-1,157
1103456,4.407773667015351e+18,0,14102105,1005,0,85f751fd,c4e18dd6,50e219e0,f0d41ff1,2347f47a,0f2161f8,a99f214a,5b81090b,45fbca85,1,2,21664,320,50,2492,3,35,100013,43
34997109,8.8670303848693e+18,0,14102914,1005,1,cbb01868,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c791746c,ae9343b5,1,0,17262,320,50,1872,3,39,-1,23
34432710,1.2613608360555532e+19,0,14102912,1005,0,85f751fd,c4e18dd6,50e219e0,a4869716,2347f47a,d1327cf5,a99f214a,9114fe23,3bd9e8e7,1,2,375,320,50,112,3,1319,-1,15
37716506,1.01333124826291e+17,1,14103009,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,bd1a7f34,89416188,1,0,23160,320,50,2667,0,35,-1,221
8227192,9.837270135192668e+18,0,14102215,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ce7f6973,8ce34352,1,0,6616,320,50,576,2,35,-1,32
8395802,8.415133809785578e+18,0,14102216,1005,0,85f751fd,c4e18dd6,50e219e0,06d0179c,2347f47a,f95efa07,fc37e450,a2eda98c,1f0bc64f,1,0,454,320,50,122,3,1327,-1,15
11583099,1.650929637340281e+19,0,14102312,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,dd6643c4,2ea4f8ba,1,0,21611,320,50,2480,3,297,100111,61
19989736,1.8034925226272274e+19,1,14102523,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,b1c86418,e792a7b6,1,0,20395,320,50,2340,3,1065,100111,159
26602401,1.5583898307383677e+19,0,14102719,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,a0313462,a0f5f879,1,0,15704,320,50,1722,0,35,-1,79
25972425,1.3600853657505782e+19,0,14102716,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,a6e14e1f,84ebbcd4,1,0,17654,300,250,1994,2,39,-1,33
37395527,1.0198903853460263e+19,0,14103007,1002,0,9e8e8d09,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,52619e86,dc5b6339,5909f204,0,0,22700,320,50,2624,0,35,100081,221
5287397,8.257970705455333e+18,0,14102206,1005,1,222acd54,de0f0f82,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,487f8172,8f5c9827,1,0,19772,320,50,2227,0,679,100075,48
15715303,1.4803580818910917e+18,0,14102415,1005,0,9a977531,a434fa42,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,ba17fa2a,e5c6e4b1,1,0,19771,320,50,2227,0,679,100077,48
37189525,9.20107883652636e+18,0,14103005,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,2c521115,5db079b5,1,2,23725,320,50,2716,3,47,-1,23
20150846,3.5061149128697175e+18,0,14102601,1005,0,85f751fd,c4e18dd6,50e219e0,c8ad1017,2347f47a,f95efa07,a99f214a,97b4dfb1,d787e91b,1,0,7023,320,50,550,3,39,-1,23
22725052,1.5737382068454552e+19,0,14102615,1005,0,1b581e08,fba7221d,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,4941771e,3e7932d7,1,0,8330,320,50,761,3,175,100075,23
4258549,2.9268645082061677e+17,0,14102201,1005,0,6c5b482c,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,9b1fe278,84ebbcd4,1,0,17653,300,250,1994,2,39,-1,33
5659963,1.6684809823511577e+19,0,14102208,1005,0,85f751fd,c4e18dd6,50e219e0,f0d41ff1,2347f47a,0f2161f8,a99f214a,3b52add7,1c6a881d,1,2,21770,320,50,2507,0,35,-1,157
5928027,1.2781218086857564e+19,0,14102209,1005,1,a7853007,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d90a7774,d104784a,1,0,9478,320,50,906,3,1451,100156,61
10023020,1.2938321006641891e+19,1,14102304,1005,1,b7e9786d,b12b9f85,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,66365bf0,e47f989b,1,0,21912,320,50,2528,0,35,100075,221
4739136,9.72842016826442e+18,0,14102204,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,072c7541,321f8b9d,1,0,21706,320,50,2498,3,41,100111,61
31551647,6.369992747936279e+17,1,14102818,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,38a8ddf8,d4897fef,1,0,21679,320,50,2495,2,167,-1,23
39036712,5.626803206568832e+18,0,14103014,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,0ee1bc47,23885c9e,1,0,22261,320,50,2545,0,431,-1,221
12439840,1.0402823667444494e+19,0,14102317,1005,0,6ec06dbd,d262cf1e,f66779e6,ecad2386,7801e8d9,07d7df22,a99f214a,abb825ef,d787e91b,1,0,19772,320,50,2227,0,679,-1,48
19919097,3.7566128885605417e+18,0,14102522,1005,0,85f751fd,c4e18dd6,50e219e0,39947756,2347f47a,cef3e649,52bba05c,88011a7f,9934e927,1,3,21801,320,50,2515,1,161,100191,71
29150010,8.502583683125792e+18,0,14102810,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,6fdf1afa,d787e91b,1,0,20108,320,50,2299,2,1327,-1,52
8923262,3.6870008279911465e+18,0,14102219,1005,0,85f751fd,c4e18dd6,50e219e0,7358e05e,b9528b13,cef3e649,ed272b1e,3bbde917,14c754ae,1,0,18093,320,50,2060,3,39,100050,23
1153030,7.431057494116146e+18,0,14102105,1005,0,85f751fd,c4e18dd6,50e219e0,54c5d545,2347f47a,0f2161f8,98ba2aa9,3888a410,d787e91b,1,0,21652,320,50,2489,1,547,-1,51
3914904,1.8143152939445991e+19,0,14102121,1005,0,85f751fd,c4e18dd6,50e219e0,685d1c4c,2347f47a,8ded1f7a,90d6327c,431b3174,4ea23a13,1,3,21763,320,50,2502,0,35,-1,221
14179947,2.5540834405841684e+18,0,14102406,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,e13caad5,5c61e7ff,1,0,20108,320,50,2299,2,1319,100084,52
39215578,1.786065501476096e+19,0,14103015,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,6b9769f2,d787e91b,1,0,20108,320,50,2299,2,1327,-1,52
13026413,1.1173496062026992e+19,0,14102321,1005,0,85f751fd,c4e18dd6,50e219e0,396df801,2347f47a,0f2161f8,a99f214a,96b86172,659e09ef,1,0,21611,320,50,2480,3,297,100111,61
18435582,8.336286719587198e+18,0,14102513,1005,0,85f751fd,c4e18dd6,50e219e0,0a3b4a58,d9b5648e,0f2161f8,a99f214a,feb42d6c,aad45b01,1,0,20391,320,50,2340,3,41,100111,159
28277100,8.644338803086621e+18,0,14102807,1005,1,e4d8dd7b,a17bde68,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,ddb44482,8a4875bd,1,0,22680,320,50,2528,0,39,-1,221
15900847,1.2528804799667511e+19,0,14102416,1005,0,85f751fd,c4e18dd6,50e219e0,54c5d545,2347f47a,0f2161f8,a99f214a,74ae4f5c,46b398aa,1,2,20397,320,50,2340,0,41,100111,159
8381593,7.134125913115995e+18,0,14102216,1005,0,85f751fd,c4e18dd6,50e219e0,85b28c93,ae637522,8ded1f7a,a99f214a,eccea405,36b67a2a,1,0,21611,320,50,2480,3,297,100111,61
2269877,8.937008290569213e+18,0,14102110,1005,0,85f751fd,c4e18dd6,50e219e0,e5f1bafe,2347f47a,0f2161f8,4925bd09,b38c6160,5db079b5,1,2,20386,320,50,2338,0,35,-1,79
30996859,4.628328635365134e+18,0,14102816,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,83b564b0,84ebbcd4,1,0,17753,320,50,1993,2,1063,-1,33
32441482,4.171786507835547e+18,0,14102900,1012,0,4adf86b9,e2b020ce,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,ccb2f20f,77823562,1,0,20750,320,50,2397,3,425,100002,82
36351040,3.129791513541633e+17,0,14103001,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,75ed89ab,c794d6c9,1,0,21893,320,50,2526,0,167,100075,221
32404561,1.4557368721832763e+18,1,14102900,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,42a631ec,d787e91b,1,0,22104,320,50,2545,0,167,100084,221
29440026,1.0521293973089278e+19,0,14102812,1005,0,85f751fd,c4e18dd6,50e219e0,98fed791,d9b5648e,0f2161f8,a99f214a,1ace1390,a4b6f65b,1,0,19743,320,50,2264,3,427,100000,61
2633175,1.2692311963289573e+19,0,14102113,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d322b01f,518f4a32,1,0,19771,320,50,2227,0,687,100074,48
12411959,7.773467984255124e+18,0,14102316,1005,0,85f751fd,c4e18dd6,50e219e0,39947756,2347f47a,cef3e649,6073b6cf,c0b27b58,9e3836ff,1,3,22090,320,50,2543,1,161,100192,71
25038959,1.283929055108147e+19,0,14102709,1005,0,85f751fd,c4e18dd6,50e219e0,e9739828,df32afa9,cef3e649,a99f214a,adbf33d2,9934e927,1,0,22685,320,50,2619,1,163,-1,71
34600487,1.0487816120435206e+19,0,14102913,1005,0,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,faa41273,8a4875bd,1,0,18092,320,50,2060,3,39,-1,23
32821474,1.6191528561361158e+19,0,14102903,1005,0,6256f5b4,28f93029,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,3683c3bb,80b1a1d2,1,0,22948,320,50,2654,3,38,100173,23
10059222,1.5140527039706685e+19,0,14102304,1005,1,0eb72673,d2f72222,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,7239cfca,8a4875bd,1,0,21923,320,50,2528,0,35,100081,221
20798954,1.7633159314168986e+19,0,14102606,1005,0,85f751fd,c4e18dd6,50e219e0,54c5d545,2347f47a,0f2161f8,a99f214a,717158db,7abbbd5c,1,0,16688,320,50,1873,3,39,-1,23
18584318,1.9329629571415885e+18,0,14102514,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,7d849059,2692a96a,1,3,21191,320,50,2424,1,161,100191,71
1120573,5.449981788547911e+18,0,14102105,1005,0,85f751fd,c4e18dd6,50e219e0,09ee80af,2347f47a,0f2161f8,a99f214a,563fbc3d,e24c8b65,1,2,21667,320,50,2494,3,35,-1,112
35453580,1.644455293465699e+19,0,14102917,1005,0,85f751fd,c4e18dd6,50e219e0,8b89048f,2347f47a,cef3e649,720ab6d1,42055e53,fa61e8fe,1,3,20071,320,50,2291,3,35,-1,43
16880951,1.5513936696110698e+19,0,14102503,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,978e72ea,c4cff2ea,1,0,17264,320,50,1872,3,39,-1,23
26973856,4.899610277231222e+18,0,14102722,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,2612f4cb,d787e91b,1,0,15707,320,50,1722,0,35,-1,79
22125330,5.960213889907644e+18,0,14102612,1002,0,40667bbd,5f2d6cc4,50e219e0,ecad2386,7801e8d9,07d7df22,de48cdaf,f2dd66c9,08ac11ab,0,0,15908,320,50,1752,3,297,100081,82
34053825,1.2739635443954117e+19,0,14102910,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,675bf198,4ceb2e0b,1,0,15701,320,50,1722,0,35,-1,79
34579732,8.704121229199134e+18,0,14102912,1005,0,85f751fd,c4e18dd6,50e219e0,54c5d545,2347f47a,0f2161f8,28dc8687,ab99968e,794346bd,1,2,15699,320,50,1722,0,35,100084,79
27459880,1.1324519807230403e+19,0,14102803,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,b47eb6d1,1f0bc64f,1,0,17014,320,50,1872,3,39,-1,23
28513939,5.889803931378995e+16,0,14102808,1005,1,e5c60a05,7256c623,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,ba7944e8,8a4875bd,1,0,22680,320,50,2528,0,39,100079,221
19677670,1.1346743759786895e+19,0,14102520,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,3799f4b0,aad45b01,1,0,20508,320,50,2351,3,163,-1,61
8312495,1.753513239157842e+19,0,14102216,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,2ec516c9,8a4875bd,1,0,15703,320,50,1722,0,35,-1,79
21681212,8.107588071507386e+18,1,14102610,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a13b7487,d4897fef,1,0,4687,320,50,423,2,39,100148,32
9135937,1.0266023839507716e+19,0,14102221,1002,0,9e8e8d09,16a36ef3,50e219e0,ecad2386,7801e8d9,07d7df22,544bd828,726e3f20,874c7b6b,0,0,6360,300,50,544,3,39,100076,23
32059653,1.985925913115285e+18,1,14102821,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,f9081a19,ecb851b2,1,0,17262,320,50,1872,3,39,-1,23
21645680,5.423334381705079e+18,0,14102610,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,476eccba,8a4875bd,1,0,15706,320,50,1722,0,35,100084,79
7860508,1.0230539244997935e+19,0,14102214,1005,0,85f751fd,c4e18dd6,50e219e0,7e7baafa,2347f47a,0f2161f8,a99f214a,37442cc6,d6e0e6ff,1,0,21694,320,50,2497,3,43,100151,42
38438191,1.609575438011823e+19,0,14103012,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,6436d15b,ff065cf0,1,2,22814,320,50,2647,2,39,100148,23
31006040,5.160811302770635e+18,0,14102816,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,7eeac961,1f0bc64f,1,0,20108,320,50,2299,2,1327,-1,52
2184127,1.8431451983233145e+19,0,14102110,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,85c08804,0bcabeaf,1,3,21751,320,50,2505,0,169,100176,17
11199972,1.01225068696693e+19,1,14102310,1005,1,e8f79e60,c4342784,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,7b8dbae1,d5c9a2dd,1,0,21413,320,50,2467,2,167,100075,23
997457,1.4586890430092595e+19,1,14102105,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,6dd941ff,84ebbcd4,1,0,17614,320,50,1993,2,1063,-1,33
19920299,3.977364377820054e+18,0,14102522,1005,0,85f751fd,c4e18dd6,50e219e0,7c7508aa,885c7f3f,0f2161f8,a99f214a,f51d4253,3983e343,1,0,19776,320,50,2229,0,687,100031,48
35565959,1.1900909458851397e+18,0,14102918,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,e5eda3f6,054c8edf,1,3,21191,320,50,2424,1,175,100189,71
33954404,4.452441631516317e+18,0,14102909,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,e1d18604,981edffc,1,3,21189,320,50,2424,0,175,100190,71
19894999,1.5897490469284887e+19,1,14102522,1005,0,85f751fd,c4e18dd6,50e219e0,7358e05e,b9528b13,cef3e649,6d513dd7,7d48288e,c6263d8a,1,0,20633,320,50,2374,3,39,-1,23
28356024,1.351041939469309e+19,0,14102808,1005,0,83a0ad1a,5c9ae867,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,4f39a3d7,0eb711ec,1,0,16859,320,50,1887,3,39,-1,23
11430965,1.7130682185409454e+19,0,14102311,1005,0,4bf5bbe2,6b560cc1,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,a9a74965,fce66524,1,0,20093,300,250,2295,2,35,100079,23
17157320,5.297548877074419e+18,0,14102506,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,76df963c,ecb851b2,1,0,15706,320,50,1722,0,35,100083,79
133192,1.1699115968132526e+19,0,14102101,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,3dfc9d1a,9b5ce758,1,0,21611,320,50,2480,3,297,100111,61
7967204,3.1708889395370327e+18,1,14102214,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d0d0294e,8571106b,1,0,17753,320,50,1993,2,1063,-1,33
38261844,3.6084871833654953e+18,0,14103011,1005,0,6399eda6,968765cd,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,089bd513,8a4875bd,1,0,19950,320,50,1800,3,167,100075,23
36461146,5.632290649669342e+18,0,14103002,1005,0,85f751fd,c4e18dd6,50e219e0,e69a444c,2347f47a,8ded1f7a,7a8b6fa4,f9ec9098,b8353729,1,0,23642,320,50,2709,3,39,-1,23
20295805,1.1855346330432614e+19,0,14102603,1005,1,0eb72673,d2f72222,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,87504565,be6db1d7,1,0,19950,320,50,1800,3,167,100075,23
14018981,3.3858648858670515e+18,0,14102405,1005,0,85f751fd,c4e18dd6,50e219e0,f53417e1,0e8616ad,0f2161f8,a99f214a,d5919bf3,31c2dcf9,1,0,463,320,50,122,3,1327,-1,15
2763866,7.516353616515643e+18,0,14102113,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,1cf29716,ef726eae,1,0,21724,320,50,2502,0,35,-1,221
22728069,1.5968772822228543e+19,0,14102615,1010,7,85f751fd,c4e18dd6,50e219e0,75076517,7801e8d9,0f2161f8,7e17621e,64fc2955,f3776ac6,4,2,22336,320,480,2578,0,1315,-1,110
21308588,1.1971437184594596e+19,1,14102609,1002,0,e647457e,08facbad,50e219e0,ecad2386,7801e8d9,07d7df22,9920c7da,0c22b853,3762982a,0,0,6563,320,50,572,2,39,-1,32
36929232,8.6983217771007e+18,0,14103004,1005,0,85f751fd,c4e18dd6,50e219e0,f53417e1,0e8616ad,0f2161f8,a99f214a,cc6d089f,6c3bc657,1,2,23804,320,50,2726,3,803,100128,229
33997606,8.305586833487499e+18,0,14102909,1010,1,85f751fd,c4e18dd6,50e219e0,ffc6ffd0,7801e8d9,0f2161f8,6932dba0,06893a47,f07e20f8,4,0,23642,320,50,2709,3,39,-1,23
28775277,2.945610804738969e+18,0,14102809,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,0fcee644,0bcabeaf,1,0,21191,320,50,2424,1,161,100189,71
25942991,1.0915278092535276e+18,1,14102716,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,a99f214a,dfc87aa5,1f0bc64f,1,0,20634,320,50,2374,3,39,-1,23
13820978,1.6614754638386979e+19,0,14102404,1005,0,85f751fd,c4e18dd6,50e219e0,7358e05e,b9528b13,cef3e649,6d385e10,7176f5ba,be74e6fe,1,0,20632,320,50,2374,3,39,-1,23
3867755,9.504561024933087e+18,0,14102120,1005,0,85f751fd,c4e18dd6,50e219e0,0acbeaa3,45a51db4,f95efa07,a99f214a,85d3829e,7ac6007f,1,2,16615,320,50,1863,3,39,-1,23
35854022,1.6479875898720563e+19,0,14102920,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,0b52871f,3bc980aa,1,0,23726,320,50,2717,2,47,-1,23
39239878,3.0078394504907003e+18,0,14103015,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,12c99196,6ee42729,1,0,22676,320,50,2616,0,35,100084,51
3076854,3.74735884121906e+18,0,14102115,1005,1,856e6d3f,58a89a43,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,ff6b1b08,76dc4769,1,0,16208,320,50,1800,3,167,-1,23
34682035,1.7446664994465987e+19,0,14102913,1005,1,e023ba3e,75f9ddc3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,f888785e,182e4a19,1,0,23723,320,50,2716,3,43,-1,23
13906650,8.829686342335176e+18,0,14102404,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ff58bc1a,a0f5f879,1,0,15706,320,50,1722,0,35,100084,79
21391571,2.1930395296539597e+18,0,14102609,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,2f79ba18,be6db1d7,1,0,22224,320,50,2561,0,687,-1,51
11685065,1.0979527250813207e+19,0,14102313,1005,0,85f751fd,c4e18dd6,50e219e0,54c5d545,2347f47a,0f2161f8,a92fc46f,42a57eaa,afc832f2,1,0,16688,320,50,1873,3,39,-1,23
4430553,1.3157114734949155e+19,0,14102203,1005,1,c63170c5,a9bba545,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,579c0a73,9955990f,1,0,19772,320,50,2227,0,679,100074,48
18402,1.2545831625369209e+19,0,14102100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,418c7751,24f6b932,1,0,20362,320,50,2333,0,39,-1,157
17159451,5.995244442223393e+18,0,14102506,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,79a623de,be87996b,1,2,17614,320,50,1993,2,1063,-1,33
34966099,6.564612633382162e+18,0,14102914,1005,0,85f751fd,c4e18dd6,50e219e0,6f8bcb0f,2347f47a,0f2161f8,29200a01,82e14ac2,2bfd0d1a,1,0,15705,320,50,1722,0,35,-1,79
19604842,1.7850591955121435e+19,0,14102519,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,cd87691f,8a4875bd,1,0,19595,320,50,2242,3,167,-1,23
29255445,1.5279156390063534e+19,0,14102811,1005,1,e4d8dd7b,a17bde68,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,9a4910d2,5ec45883,1,0,22680,320,50,2528,0,39,100076,221
14367835,3.618888693263112e+18,1,14102407,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,e0c0f14e,7eef184d,1,0,20108,320,50,2299,2,1319,100084,52
5942612,1.3325650302236269e+19,0,14102209,1005,0,89a490f5,ce307e01,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,afb546aa,d787e91b,1,0,21876,320,50,2526,0,35,100081,221
9916732,4.4597681493159276e+18,0,14102303,1005,1,856e6d3f,58a89a43,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,827bac26,4557228f,1,0,21913,320,50,2528,0,35,-1,221
32046250,1.7243955465450865e+19,0,14102821,1005,0,83a0ad1a,5c9ae867,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,220a7c1a,91c9c83e,1,0,19772,320,50,2227,0,935,100074,48
4693216,5.933734924154801e+18,0,14102204,1005,0,3e81fcf1,86ae6c2c,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,65e028bb,89416188,1,0,20362,320,50,2333,0,39,-1,157
24056363,3.799246028695833e+18,0,14102702,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,091722f3,00aae2c7,1,0,17037,320,50,1934,2,39,-1,16
28646154,1.3033078300644723e+18,0,14102809,1005,0,cd58172f,b9c4ab81,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a58f4b07,8571106b,1,0,22768,320,50,2641,3,35,100013,23
25529721,7.902030218710818e+18,0,14102712,1005,0,b99a2c43,cc962a1f,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,47661996,38fa23d7,1,0,22268,320,50,2566,3,47,100156,42
